file,class,function,signature
firmware/src/error_handler.cpp,ErrorHandler,initialize,void ErrorHandler::initialize()
firmware/src/error_handler.cpp,ErrorHandler,systemHealthy,bool ErrorHandler::systemHealthy()
firmware/src/mode_manager.cpp,ModeManager,ModeManager,ModeManager::ModeManager()
firmware/src/mode_manager.cpp,ModeManager,loadPersistedMode,"bool ModeManager::loadPersistedMode(OperationMode& outMode, uint8_t& outTargetConfig, bool& outByDevice)"
firmware/src/mode_manager.cpp,ModeManager,saveMode,"void ModeManager::saveMode(OperationMode mode, uint8_t targetConfig, bool byDevice)"
firmware/src/mode_manager.cpp,ModeManager,clearPersistedMode,void ModeManager::clearPersistedMode(const char* source)
firmware/src/mode_manager.cpp,ModeManager,getModeChangeCount,uint32_t ModeManager::getModeChangeCount()
firmware/src/mode_manager.cpp,ModeManager,getLastModeChangeUptime,uint32_t ModeManager::getLastModeChangeUptime()
firmware/src/mode_manager.cpp,ModeManager,logModeTransition,"void ModeManager::logModeTransition(OperationMode from, OperationMode to, const char* source)"
firmware/src/mode_manager.cpp,ModeManager,hasPersistedMode,bool ModeManager::hasPersistedMode()
firmware/src/wifi_manager.cpp,WiFiManager,WiFiManager,WiFiManager::WiFiManager()
firmware/src/wifi_manager.cpp,WiFiManager,generateDeviceId,void WiFiManager::generateDeviceId()
firmware/src/wifi_manager.cpp,WiFiManager,getUniqueAPSSID,String WiFiManager::getUniqueAPSSID() const
firmware/src/wifi_manager.cpp,WiFiManager,getUniqueMDNSHostname,String WiFiManager::getUniqueMDNSHostname() const
firmware/src/wifi_manager.cpp,WiFiManager,getDeviceId,String WiFiManager::getDeviceId()
firmware/src/wifi_manager.cpp,,migrateLegacyCredentials,"static bool migrateLegacyCredentials(String& outSsid, String& outPassword)"
firmware/src/wifi_manager.cpp,WiFiManager,hasStoredCredentials,bool WiFiManager::hasStoredCredentials() const
firmware/src/wifi_manager.cpp,WiFiManager,loadCredentials,bool WiFiManager::loadCredentials()
firmware/src/wifi_manager.cpp,WiFiManager,saveCredentials,"bool WiFiManager::saveCredentials(const char* ssid, const char* password)"
firmware/src/wifi_manager.cpp,WiFiManager,clearCredentials,bool WiFiManager::clearCredentials()
firmware/src/wifi_manager.cpp,WiFiManager,autoConnect,bool WiFiManager::autoConnect()
firmware/src/wifi_manager.cpp,WiFiManager,startAP,"bool WiFiManager::startAP(const char* ssid, const char* password)"
firmware/src/wifi_manager.cpp,WiFiManager,startBackgroundAP,void WiFiManager::startBackgroundAP()
firmware/src/wifi_manager.cpp,WiFiManager,startStation,"bool WiFiManager::startStation(const char* ssid, const char* password)"
firmware/src/wifi_manager.cpp,WiFiManager,stop,void WiFiManager::stop()
firmware/src/wifi_manager.cpp,WiFiManager,isConnected,bool WiFiManager::isConnected() const
firmware/src/wifi_manager.cpp,WiFiManager,getIPAddress,IPAddress WiFiManager::getIPAddress() const
firmware/src/wifi_manager.cpp,WiFiManager,getSSID,String WiFiManager::getSSID() const
firmware/src/wifi_manager.cpp,WiFiManager,getRSSI,int8_t WiFiManager::getRSSI() const
firmware/src/wifi_manager.cpp,WiFiManager,update,void WiFiManager::update()
firmware/src/wifi_manager.cpp,WiFiManager,handleDisconnect,void WiFiManager::handleDisconnect()
firmware/src/wifi_manager.cpp,WiFiManager,startMDNS,bool WiFiManager::startMDNS(const char* hostname)
firmware/src/wifi_manager.cpp,WiFiManager,checkAPHealth,bool WiFiManager::checkAPHealth()
firmware/src/utils/channel_hash.cpp,,"ChannelHash::getChannelName",const char* ChannelHash::getChannelName(uint8_t hash)
firmware/src/utils/channel_hash.cpp,,"ChannelHash::calculateHash","uint8_t ChannelHash::calculateHash(const char* name, const uint8_t* psk, size_t pskLen)"
firmware/src/repositories/packet_store.cpp,PacketStore,PacketStore,PacketStore::PacketStore()
firmware/src/repositories/packet_store.cpp,PacketStore,initializeEmptyPacket,void PacketStore::initializeEmptyPacket()
firmware/src/repositories/packet_store.cpp,PacketStore,capturePacket,"bool PacketStore::capturePacket(const uint8_t* data, size_t length, uint8_t configIndex, int16_t rssi, float snr, uint32_t nodeId, uint32_t packetId, uint8_t hopCount, uint32_t destId, uint8_t channel, bool wantAck, bool viaMqtt, uint8_t priority, const char* protocol, const char* decryptedText)"
firmware/src/repositories/packet_store.cpp,PacketStore,getPacket,const CapturedPacket& PacketStore::getPacket(uint8_t index) const
firmware/src/repositories/packet_store.cpp,PacketStore,clear,void PacketStore::clear()
firmware/src/pcap_logger.cpp,PCAPLogger,PCAPLogger,PCAPLogger::PCAPLogger()
firmware/src/pcap_logger.cpp,PCAPLogger,~PCAPLogger,PCAPLogger::~PCAPLogger()
firmware/src/pcap_logger.cpp,PCAPLogger,begin,bool PCAPLogger::begin(const char* filename)
firmware/src/pcap_logger.cpp,PCAPLogger,close,void PCAPLogger::close()
