timestamp_ms,session_id,node_id_hex,protocol,frequency_mhz,config_index,rssi_dbm,snr_db,length_bytes,packet_type,encrypted,psk_result,psk_id,lat_deg,lon_deg,alt_m,hop_count,is_router,power_class,raw_hex
355557,snf_6356,49B54A64,Meshtastic,906.875,0,-116.0,-6.7,97,unknown,1,none,,,,,,0,0,FFFFFFFF644AB54908175308A50800649F2B749906C2251D4E73015729A918D9DA960B6C59DAD1761438A1CC177EDCD677A07C47583D11066E9C5ECED97977D436D10CAEADACFBE91C2A12EBF0413964E9B5742C3D68A2EB3C37BF8CDC0C91922B
357041,snf_6356,49B54A64,Meshtastic,906.875,0,-106.0,1.8,97,unknown,1,none,,,,,,0,0,FFFFFFFF644AB54908175308A40800BE9F2B749906C2251D4E73015729A918D9DA960B6C59DAD1761438A1CC177EDCD677A07C47583D11066E9C5ECED97977D436D10CAEADACFBE91C2A12EBF0413964E9B5742C3D68A2EB3C37BF8CDC0C91922B
359599,snf_6356,49B54A64,Meshtastic,906.875,0,-121.0,-12.3,97,unknown,1,none,,,,,,0,0,FFFFFFFF644AB54908175308A40800609F2B749906C2251D4E73015729A918D9DA960B6C59DAD1761438A1CC177EDCD677A07C47583D11066E9C5ECED97977D436D10CAEADACFBE91C2A12EBF0413964E9B5742C3D68A2EB3C37BF8CDC0C91922B
416061,snf_6356,49B54C60,Meshtastic,906.875,0,-124.0,-16.8,55,unknown,1,none,,,,,,0,0,FFFFFFFF604CB54986B40F48E70800605B177E10D55898869CCF21B6C537912F2EA8D22EADAA04C5FC7B1E171C48B7C66B1A967D995D14
417012,snf_6356,49B54C60,Meshtastic,906.875,0,-117.0,-9.5,55,unknown,1,none,,,,,,0,0,FFFFFFFF604CB54986B40F48E60800645B177E10D55898869CCF21B6C537912F2EA8D22EADAA04C5FC7B1E171C48B7C66B1A967D995D14
418633,snf_6356,49B54C60,Meshtastic,906.875,0,-113.0,-5.7,55,unknown,1,none,,,,,,0,0,FFFFFFFF604CB54986B40F48E50800BE5B177E10D55898869CCF21B6C537912F2EA8D22EADAA04C5FC7B1E171C48B7C66B1A967D995D14
538940,snf_6356,49B54C60,Meshtastic,906.875,0,-113.0,-5.0,55,unknown,1,none,,,,,,0,0,FFFFFFFF604CB54987F0AECBE6080064A8D3E428727DD43A19537A3A051DA629CCE050978C36EE1F76C5036090FB1A4B5F7A447810BA32
572083,snf_6356,49B54A64,Meshtastic,906.875,0,-105.0,2.0,56,unknown,1,none,,,,,,0,0,FFFFFFFF644AB54909871C4DA40800BE2861CC884761061EAAE2DF983E0A1F0BF2CBC3472C3D41753C396923A31DA7BB79147FDB80277B78
661551,snf_6356,49B54C60,Meshtastic,906.875,0,-117.0,-8.0,50,unknown,1,none,,,,,,0,0,FFFFFFFF604CB54988FCB012E608006470C52C557EBC4009349F7737BA47CBABD70D1BA5EFCEF6B3DFDB4E4244268672E4A7
662231,snf_6356,49B54C60,Meshtastic,906.875,0,-106.0,1.0,50,unknown,1,none,,,,,,0,0,FFFFFFFF604CB54988FCB012E60800BE70C52C557EBC4009349F7737BA47CBABD70D1BA5EFCEF6B3DFDB4E4244268672E4A7
